Rundll32 Commands

About Windows	Rundll32.exe shell32.dll,ShellAbout
Mouse Button swap left and right button function	Rundll32.exe user32.dll,SwapMouseButton
Mouse Properties - Buttons tab	Rundll32.exe shell32.dll,Control_RunDLL main.cpl
Mouse Properties - Pointers tab	Rundll32.exe shell32.dll,Control_RunDLL main.cpl,,1
Mouse Properties - Pointer Options tab	Rundll32.exe shell32.dll,Control_RunDLL main.cpl,,2
Mouse Properties - Wheel tab	Rundll32.exe shell32.dll,Control_RunDLL main.cpl,,3
Mouse Properties - Hardware tab	Rundll32.exe shell32.dll,Control_RunDLL main.cpl,,4
Network Connections	Rundll32.exe shell32.dll,Control_RunDLL ncpa.cpl
ODBC Data Source Administrator	Rundll32.exe shell32.dll,Control_RunDLL odbccp32.cpl
Offline Files (General tab)	Rundll32.exe Shell32.dll,Control_RunDLL cscui.dll,,0
Offline Files (Disk Usage tab)	Rundll32.exe Shell32.dll,Control_RunDLL cscui.dll,,1
Offline Files (Encryption tab)	Rundll32.exe Shell32.dll,Control_RunDLL cscui.dll,,2
Offline Files (Network tab)	Rundll32.exe Shell32.dll,Control_RunDLL cscui.dll,,3
Pen and Touch	Rundll32.exe shell32.dll,Control_RunDLL tabletpc.cpl
Personalization - Background Settings	Rundll32.exe shell32.dll,Control_RunDLL desk.cpl,,2
Power Options	Rundll32.exe shell32.dll,Control_RunDLL powercfg.cpl
Printer User Interface	Rundll32.exe Printui.dll,PrintUIEntry /?
Printers folder	Rundll32.exe shell32.dll,SHHelpShortcuts_RunDLL PrintersFolder
Process idle tasks	Rundll32.exe advapi32.dll,ProcessIdleTasks
Programs and Features	Rundll32.exe shell32.dll,Control_RunDLL appwiz.cpl,,0
Region - Formats tab	Rundll32.exe shell32.dll,Control_RunDLL Intl.cpl,,0
Region - Location tab	Rundll32.exe shell32.dll,Control_RunDLL Intl.cpl,,1
Region - Administrative tab	Rundll32.exe shell32.dll,Control_RunDLL Intl.cpl,,2
Safely Remove Hardware	Rundll32.exe shell32.dll,Control_RunDLL HotPlug.dll
Screen Saver Settings	Rundll32.exe shell32.dll,Control_RunDLL desk.cpl,,1
Security and Maintenance	Rundll32.exe shell32.dll,Control_RunDLL wscui.cpl
Set Program Access and Computer Defaults	Rundll32.exe shell32.dll,Control_RunDLL appwiz.cpl,,3
Set Up a Network wizard	Rundll32.exe shell32.dll,Control_RunDLL NetSetup.cpl
Sleep or Hibernate	Rundll32.exe powrprof.dll,SetSuspendState
Sound - Playback tab	Rundll32.exe shell32.dll,Control_RunDLL Mmsys.cpl,,0
Sound - Recording tab	Rundll32.exe shell32.dll,Control_RunDLL Mmsys.cpl,,1
Sound - Sounds tab	Rundll32.exe shell32.dll,Control_RunDLL Mmsys.cpl,,2
Sound - Communications tab	Rundll32.exe shell32.dll,Control_RunDLL Mmsys.cpl,,3
Speech Properties - Text to Speech tab	Rundll32.exe shell32.dll,Control_RunDLL %SystemRoot%\System32\Speech\SpeechUX\sapi.cpl,,1
Start Settings	Rundll32.exe shell32.dll,Options_RunDLL 3
Stored User Names and Passwords	Rundll32.exe keymgr.dll,KRShowKeyMgr
System Properties - Computer Name tab	Rundll32.exe shell32.dll,Control_RunDLL Sysdm.cpl,,1
System Properties - Hardware tab	Rundll32.exe shell32.dll,Control_RunDLL Sysdm.cpl,,2
System Properties - Advanced tab	Rundll32.exe shell32.dll,Control_RunDLL Sysdm.cpl,,3
System Properties - System Protection tab	Rundll32.exe shell32.dll,Control_RunDLL Sysdm.cpl,,4
System Properties - Remote tab	Rundll32.exe shell32.dll,Control_RunDLL Sysdm.cpl,,5
Taskbar Settings	Rundll32.exe shell32.dll,Options_RunDLL 1
Text Services and Input Languages	Rundll32.exe Shell32.dll,Control_RunDLL input.dll,,{C07337D3-DB2C-4D0B-9A93-B722A6C106E2}
User Accounts	Rundll32.exe shell32.dll,Control_RunDLL nusrmgr.cpl
Windows Features	Rundll32.exe shell32.dll,Control_RunDLL appwiz.cpl,,2
Windows Firewall	Rundll32.exe shell32.dll,Control_RunDLL firewall.cpl
Windows To Go Startup Options	Rundll32.exe pwlauncher.dll,ShowPortableWorkspaceLauncherConfigurationUX
